agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gemini-2.5-pro,CoT,,0.0292617864906787,huber,0.0257781781256198,0.0456464514136314,0.985333108425318,0.0220598641016539,0.9966882465227536,0.0068305980414152,-1475.6781111563112,-1465.2361943862852,0.0364075931411681,0.0258450071705561,0.9909793833058754,0.025642707397752,0.0151236811427004,-0.0137338991474473,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:42:32.952264+00:00,0.5055516958236694,0.4861292243003845,0.5055516958236694,0.4861292243003845,,,,,,,0.5037974119186401,0.0365857444703578,0.5437019467353821,0.9864462614059448,0.5437019467353821,0.9864462614059448
claude-3-5-haiku-20241022,numeric,,0.0632753744721412,huber,0.2736506760120392,0.315423309803009,0.1165246368332857,0.121843448691101,0.5915826189211091,0.0620073392987251,-545.8430518202819,-531.9204961269139,0.2162499658004383,0.1842814492456841,-0.2865062392235451,0.1131565074248985,0.0601161656957684,0.0365284807754285,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:44:17.143997+00:00,0.5121279954910278,0.6710808277130127,0.5121279954910278,0.6710808277130127,,,,,,,0.4838784635066986,0.3447626829147339,0.4927954077720642,0.3788934648036957,0.4725507199764251,0.493426501750946
claude-3-7-sonnet-20250219,numeric,,0.0309787169098854,huber,0.0727952197194099,0.1154330000281333,0.892577885990049,0.0590229831629598,0.9716823093603678,0.0384856929071247,-1028.3512055492429,-1014.4286498558748,0.130411190190267,0.0847923104058612,0.861756338655698,0.09908250412095,0.0416065654519832,0.0217061464082111,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:44:46.725162+00:00,0.5055516958236694,0.4601014852523803,0.5055516958236694,0.4601014852523803,,,,,,,0.5037974119186401,0.0882918685674667,0.5437019467353821,0.9919248223304749,0.4951467514038086,0.6884484887123108
claude-3-haiku-20240307,numeric,,0.0511890016496181,huber,0.22667096555233,0.2734818458557129,0.111539127464684,0.1055156304840661,0.5289537338605308,0.0451164722442626,-614.3296126495239,-600.407056956156,0.150699567886835,0.1264962445605885,0.0391537564516381,0.0819088510073642,0.0311545491218567,-0.003953916015047,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:45:27.309193+00:00,0.5121279954910278,0.6886662840843201,0.5121279954910278,0.6886662840843201,,,,,,,0.4838784635066986,0.4895243048667907,0.4927954077720642,0.4375338852405548,0.4725507199764251,0.3277836441993713
claude-3-opus,numeric,,0.0208430215716362,huber,0.148133248090744,0.1976130157709121,0.4720370087826556,0.0404459166681725,0.964493976231659,0.016477058827877,-770.2934151662647,-756.3708594728968,0.0911685632938444,0.0688917002894661,0.8195973584191109,0.0597129848884653,0.0251777990297837,0.0242432708090001,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:45:55.802014+00:00,0.5055516958236694,0.4860296845436096,0.5055516958236694,0.4860296845436096,,,,,,,0.5037974119186401,0.3164726495742798,0.5437019467353821,0.5537747144699097,0.4951467514038086,0.6663514971733093
claude-opus-4-1-20250805,numeric,,0.0270058903843164,huber,0.0841637924313545,0.1161632686853408,0.8696202036926367,0.0615155950066742,0.965013517907066,0.0493725555094137,-306.30274772313805,-297.1409099585445,0.1384193319330234,0.0921033867606611,0.8228572732320114,0.103328977542607,0.0651376299108519,0.0438503945641445,11,73,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_alnum_10_overloaded_de,3,3,2025-08-31T13:46:21.413333+00:00,0.5055516958236694,0.4408481121063232,0.5055516958236694,0.4408481121063232,,,,,,,0.5037974119186401,0.1698144972324371,0.5437019467353821,0.9857435822486876,0.4951467514038086,0.61158287525177
claude-opus-4-20250514,numeric,,0.0314201228320598,huber,0.0815221220254898,0.1432909518480301,0.8287380635573136,0.0669698224620944,0.9612035761724016,0.0436569842376879,-264.0029339378688,-255.00895296967136,0.1287109745823587,0.0920121856090245,0.856693935486998,0.0900015148616455,0.0902519304023096,0.063087937173744,11,70,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_alnum_10_overloaded_de,1,1,2025-08-31T13:46:34.190202+00:00,0.4715025722980499,0.4444128572940826,0.4715025722980499,0.4444128572940826,,,,,,,0.494641900062561,0.1621316075325012,0.4953719675540924,0.9865851402282716,0.5772022008895874,0.7339692115783691
claude-sonnet-4-20250514,numeric,,0.0275391153991222,huber,0.0981709584593772,0.1523108780384063,0.764650886640814,0.0693755593611779,0.94794251653761,0.0384420385584235,-895.2791558491282,-881.3566001557602,0.1607879985096547,0.1232147744230248,0.7203740707414924,0.1033000475731924,0.0670235200610124,0.0653888511183587,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,1,1,2025-08-31T13:46:46.837115+00:00,0.4715025722980499,0.4056106507778168,0.4715025722980499,0.4056106507778168,,,,,,,0.494641900062561,0.2466897815465927,0.4953719675540924,0.9397141933441162,0.5772022008895874,0.5603211522102356
gemini-1.5-pro,numeric,,0.0336169861257076,huber,0.1380799561738968,0.2148397564888,0.6182810229187129,0.0572688582007315,0.9616814261487536,0.0181641995906829,-730.1741702244151,-716.2516145310472,0.1128945263077091,0.0876808151376969,0.851091990153195,0.0711143355943865,0.0374950140037319,0.0096353998464165,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:47:17.225163+00:00,0.5055516958236694,0.4785676896572113,0.5055516958236694,0.4785676896572113,,,,,,,0.5037974119186401,0.2463463693857193,0.5437019467353821,0.8791656494140625,0.4951467514038086,0.6215479969978333
gemini-2.5-flash,numeric,,0.0315036699175834,huber,0.0154875954613089,0.0274044275283813,0.9949159958322176,0.0110278572228903,0.9991939965744384,0.0043166464750181,-1632.2551163133494,-1618.5377337975317,0.0204541510725824,0.0169977872747459,0.9972272065578248,0.0113775007740061,0.0040942545051021,-0.0029049683358988,11,228,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:47:42.486487+00:00,0.5055516958236694,0.4946447908878326,0.5055516958236694,0.4946447908878326,,,,,,,0.5037974119186401,0.0172344073653221,0.5437019467353821,0.9918051958084106,0.4951467514038086,0.9736114740371704
gemini-2.5-flash-lite,numeric,,0.0499337278306484,huber,0.2150240093469619,0.2892301380634308,0.399492238327369,0.1131802050647974,0.8352901875497366,0.0735354863107204,-587.4556477147879,-573.53309202142,0.2009913937752791,0.1642146871396989,0.4805623275607229,0.1158925230519213,0.0750182824152888,-0.0064586520646557,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,2,2,2025-08-31T13:48:32.071652+00:00,0.4699035882949829,0.4441961944103241,0.4699035882949829,0.4441961944103241,,,,,,,0.5169669389724731,0.4104287028312683,0.4875771999359131,0.829591691493988,0.465628981590271,0.2179772406816482
gemini-2.5-pro,numeric,,0.033078234642744,huber,0.0147909624502062,0.0493136942386627,0.983884187663293,0.0131575226543899,0.9988920232193276,0.0043066585552878,-1436.5856611953352,-1422.6631055019673,0.0219435190600476,0.0153305990498682,0.9969182673538418,0.0157000242519192,0.0089647131524697,-0.0072130180397212,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,1,1,2025-08-31T13:49:02.344002+00:00,0.4715025722980499,0.4872596859931946,0.4715025722980499,0.4872596859931946,,,,,,,0.494641900062561,0.0141737041994929,0.4953719675540924,0.9996393918991088,0.5772022008895874,0.9999159574508668
claude-3-5-haiku-20241022,CoT,,0.0249011944979429,huber,0.1550550907850265,0.1868627518415451,0.5069571639122294,0.0427767888404729,0.958479788672481,0.0149416491389274,-797.14284685365,-783.220291160282,0.0653416996134864,0.0622365799817171,0.903122248950648,0.0199034122842895,0.0322062893347306,-0.0108612844438263,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:54:27.862462+00:00,0.5121279954910278,0.624538242816925,0.5121279954910278,0.624538242816925,,,,,,,0.4838784635066986,0.2520815134048462,0.4927954077720642,0.659778892993927,0.4725507199764251,0.5293547511100769
claude-3-7-sonnet-20250219,CoT,,0.0184372346848249,huber,0.0578457787632942,0.0825685411691665,0.9248039801696276,0.049261921244476,0.9747374016486576,0.0315671548247337,-1189.1807553716844,-1175.2581996783165,0.1071531934738571,0.0685458136327339,0.8804731253293518,0.082360659935872,0.0393698681484568,0.0216915925343831,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:54:51.930294+00:00,0.5055516958236694,0.444171130657196,0.5055516958236694,0.444171130657196,,,,,,,0.5037974119186401,0.1072039753198623,0.5437019467353821,0.8561413884162903,0.4951467514038086,0.7309585809707642
claude-3-haiku-20240307,CoT,,0.0374579988420009,huber,0.1735120415687561,0.2172054350376129,0.1817275519911958,0.0649547272821394,0.7378903418648326,0.0020935148000717,-724.9176013173742,-710.9950456240063,0.0991764705069513,0.0822362477129156,0.3889471908089466,0.0554361963370158,0.0217410098422657,-0.0211625102794532,11,240,noisy_or,4,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:55:24.702037+00:00,0.5121279954910278,0.7010654211044312,0.5121279954910278,0.7010654211044312,,,,,,,0.4838784635066986,0.5674761533737183,0.4927954077720642,0.4767890870571136,0.4725507199764251,0.4963467717170715
