s;domain;diagram;attr.polarity;letter.type;study.type;b;t;rt;y;type;aggr.type;betw.factors;task
14;economy;A;ppp;I;p(C|0E)/v00;1;9;3,9;0;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;E;XorY=0,Z=?(Y?);1;10;9,95;55;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;C;XorY=0,Z=1(Y?);1;11;5,05;65;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;A;XorY=1,Z=1(Y?);1;12;5,27;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;G;XorY=?,Z=0(X?);1;13;5;10;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;F;XorY=1,Z=0(X?);1;14;8,02;55;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;D;XorY=1,Z=?(Y?);1;15;5,71;70;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;B;XorY=?,Z=1(Y?);1;16;4,72;80;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;F;XorY=1,Z=0(Y?);1;17;8,13;25;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;C;XorY=0,Z=1(X?);1;18;5,55;65;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;A;XorY=1,Z=1(X?);1;19;14,01;70;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;G;XorY=?,Z=0(Y?);1;20;4,06;10;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;J;p(C|1E)[Y]/v01;1;1;35,04;80;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;E;XorY=0,Z=?(Y?);1;2;7,31;75;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;C;XorY=0,Z=1(Y?);1;3;13,51;100;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;H;XorY=0,Z=0(Y?);1;4;9,12;80;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;B;XorY=?,Z=1(Y?);1;5;10,43;75;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;A;XorY=1,Z=1(X?);1;6;10,33;75;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;F;XorY=1,Z=0(X?);1;7;7,19;75;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;J;p(C|1E)[X]/v10;1;8;18,57;15;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;I;p(C|0E)/v00;1;9;10;25;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;D;XorY=1,Z=?(X?);1;10;8,23;85;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;H;XorY=0,Z=0(X?);1;11;6,76;65;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;D;XorY=1,Z=?(Y?);1;12;6,26;75;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;B;XorY=?,Z=1(X?);1;13;6,59;20;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;A;XorY=1,Z=1(Y?);1;14;8,13;85;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;K;p(C|2E)/v11;1;15;6,54;85;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;F;XorY=1,Z=0(Y?);1;16;5,05;80;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;C;XorY=0,Z=1(X?);1;17;12,03;85;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;G;XorY=?,Z=0(Y?);1;18;15,65;20;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
