s;domain;diagram;attr.polarity;letter.type;study.type;trial;rt;y;type;aggr.type;betw.factors;task
21;economy;a;mmp;F;Y|X=1,Z=0;16;22,932;35;CB|E=0,CA=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;D;Y|X=1;17;20,4;15;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;A;X|Y=1,Z=1;18;9,652;25;CA|E=1,CB=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;E;Y|X=0;19;15,692;40;CB|CA=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;I;Z|X=0,Y=0;0;20,564;20;E|CA=0,CB=0;E|CA=0,CB=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;G;Y|Z=0;1;23,284;40;CB|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;B;X|Z=1;2;6,62;70;CA|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;A;Y|X=1,Z=1;3;5,899;85;CB|E=1,CA=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;F;Y|X=1,Z=0;4;12,38;30;CB|E=0,CA=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;A;X|Y=1,Z=1;5;11,164;90;CA|E=1,CB=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;J;Z|X=1,Y=0;6;11,076;50;E|CA=1,CB=0;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;E;X|Y=0;7;16,332;50;CA|CB=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;F;X|Y=1,Z=0;8;10,787;35;CA|E=0,CB=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;D;X|Y=1;9;12,916;50;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;H;Y|X=0,Z=0;10;11,212;20;CB|E=0,CA=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;K;Z|X=1,Y=1;11;6,988;95;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;C;X|Y=0,Z=1;12;10,5;60;CA|E=1,CB=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;D;Y|X=1;13;12,516;50;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;G;X|Z=0;14;10,9;35;CA|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;C;Y|X=0,Z=1;15;7,236;85;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;H;X|Y=0,Z=0;16;8,58;25;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;E;Y|X=0;17;16,62;50;CB|CA=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;B;Y|Z=1;18;10,828;70;CB|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
22;weather;a;ppp;J;Z|X=0,Y=1;19;8,564;50;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;J;Z|X=0,Y=1;0;6,532;100;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;A;Y|X=1,Z=1;1;9,812;75;CB|E=1,CA=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;C;Y|X=0,Z=1;2;10,283;65;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;H;X|Y=0,Z=0;3;15,484;55;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;C;X|Y=0,Z=1;4;5,556;80;CA|E=1,CB=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;E;X|Y=0;5;12,988;50;CA|CB=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;F;X|Y=1,Z=0;6;8,396;45;CA|E=0,CB=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;E;Y|X=0;7;7,428;50;CB|CA=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;F;Y|X=1,Z=0;8;11,052;60;CB|E=0,CA=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;G;Y|Z=0;9;7,532;65;CB|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;D;X|Y=1;10;6,124;50;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;A;X|Y=1,Z=1;11;6,132;70;CA|E=1,CB=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;J;Z|X=1,Y=0;12;5,594;85;E|CA=1,CB=0;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;B;X|Z=1;13;7,628;85;CA|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;B;Y|Z=1;14;4,179;80;CB|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;H;Y|X=0,Z=0;15;4,02;55;CB|E=0,CA=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;K;Z|X=1,Y=1;16;8,684;95;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;G;X|Z=0;17;5,972;60;CA|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;D;Y|X=1;18;5,571;70;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
25;economy;b;ppp;I;Z|X=0,Y=0;19;3,644;60;E|CA=0,CB=0;E|CA=0,CB=0;domain, attr.polarity, diagram, letter.type;c
28;society;b;pmm;I;Z|X=0,Y=0;0;18,572;50;E|CA=0,CB=0;E|CA=0,CB=0;domain, attr.polarity, diagram, letter.type;c
28;society;b;pmm;D;X|Y=1;1;29,644;50;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
28;society;b;pmm;D;Y|X=1;2;7,556;50;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
28;society;b;pmm;C;Y|X=0,Z=1;3;20,596;50;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
28;society;b;pmm;K;Z|X=1,Y=1;4;15,38;100;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
28;society;b;pmm;J;Z|X=0,Y=1;5;5,844;100;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
